anxiety_fear_panic	type	code	probe	text	effect	detail	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	love_vs_fear	PC1_normalized	PC2_normalized	PC3_normalized	PC4_normalized	PC5_normalized	PC6_normalized	PC7_normalized	PC8_normalized	PC9_normalized	PC10_normalized
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	A	a-pinene	2	2		-4.019423429093662	0.8202053889271531	-2.152159242063426	-5.355703165844927	-5.85806828281308	-2.644041388714477	1.0389558902415121	5.195716899159924	-4.043855289260438	-4.252643651639178	jj_probe	0.33274657472362673	0.5103860284977826	0.4774242761206337	0.3113425444780279	0.16369838828532243	0.389009964534264	0.5732569707565425	0.7959213474537173	0.43169303971765816	0.1423993828229635
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	B	cassia	3	3		-4.459377310889413	-3.3048940631247614	-0.28485206214546865	-6.046303642877493	-2.998573084842026	-0.4908588959584717	0.4900587771188854	3.2501867092942693	-1.1626980956281203	0.32417891484863975	jj_probe	0.32008343460707833	0.3507606090306246	0.5556783899191069	0.28627854127684976	0.2624828022100815	0.4649069274144361	0.5472078632354695	0.6965545300161212	0.549462052125257	0.37949442692989127
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	C	geraniol	4	4		-8.22561164242235	-0.828824067442848	0.17372539146188792	-3.229998274860147	2.3848675196251548	0.6854023945559021	-0.5548363215075328	0.38610934233306726	-1.8118817139701884	-3.0965354597216126	jj_probe	0.2116803609546955	0.44657495636573347	0.5748962093683851	0.38849087548025235	0.448459692602616	0.5063686520029934	0.4976200914625089	0.5502734523271459	0.5229262859503644	0.2022897366160365
Effect Labels	jj_rep	D	anethole	5	5		-10.164206671052757	-2.670365296640378	-0.010514574289156944	-8.513770981577975	-0.07089208918209315	0.4032368159450134	-0.2321408630618386	0.1302120636628261	-1.0432300516377364	-1.3822819391997845	jj_probe	0.15588201141725988	0.3753144220214037	0.567175179105575	0.1967266059209247	0.363622769684106	0.4964226718002277	0.5129343069915235	0.5372036483709506	0.5543453794168435	0.2910939251451268
Effect Labels	jj_rep	D	anethole	5	5		-10.164206671052757	-2.670365296640378	-0.010514574289156944	-8.513770981577975	-0.07089208918209315	0.4032368159450134	-0.2321408630618386	0.1302120636628261	-1.0432300516377364	-1.3822819391997845	jj_probe	0.15588201141725988	0.3753144220214037	0.567175179105575	0.1967266059209247	0.363622769684106	0.4964226718002277	0.5129343069915235	0.5372036483709506	0.5543453794168435	0.2910939251451268
Effect Labels	jj_rep	D	anethole	5	5		-10.164206671052757	-2.670365296640378	-0.010514574289156944	-8.513770981577975	-0.07089208918209315	0.4032368159450134	-0.2321408630618386	0.1302120636628261	-1.0432300516377364	-1.3822819391997845	jj_probe	0.15588201141725988	0.3753144220214037	0.567175179105575	0.1967266059209247	0.363622769684106	0.4964226718002277	0.5129343069915235	0.5372036483709506	0.5543453794168435	0.2910939251451268
Effect Labels	jj_rep	D	anethole	5	5		-10.164206671052757	-2.670365296640378	-0.010514574289156944	-8.513770981577975	-0.07089208918209315	0.4032368159450134	-0.2321408630618386	0.1302120636628261	-1.0432300516377364	-1.3822819391997845	jj_probe	0.15588201141725988	0.3753144220214037	0.567175179105575	0.1967266059209247	0.363622769684106	0.4964226718002277	0.5129343069915235	0.5372036483709506	0.5543453794168435	0.2910939251451268
